ResultId;AthleteId;RaceId;RaceName;Gender;Birthyear;CountryIso;County;Municipality;Status;ActualStartTime;FinishNetto;Place;PlaceClass;PlaceTotal;_5Km;_10Km;_15Km;_20Km
594482;48208;267;Göteborgsvarvet 2010;M;1974;SWE;VÄSTRA GÖTALAND;TROLLHÄTTAN;FNS; 13:33:50;01:36:38;1613;0;1733;00:23:09;00:46:25;01:08:54;01:31:56
568257;248554;267;Göteborgsvarvet 2010;F;1962;SWE;VÄSTRA GÖTALAND;GULLSPÅNG;FNS; 14:24:28;02:24:54;7957;0;31528;00:30:13;01:03:48;01:39:01;02:17:15
586818;35947;267;Göteborgsvarvet 2010;M;1985;SWE;VÄSTRA GÖTALAND;MÖLNDAL;FNS; 15:42:20;02:30:06;24717;0;33502;00:33:33;01:07:17;01:43:20;02:22:36
611542;236308;267;Göteborgsvarvet 2010;M;1950;SWE;VÄSTRA GÖTALAND;TRANEMO;FNS; 14:26:21;02:29:30;24605;0;33308;00:29:58;01:05:34;01:45:46;02:22:05
590336;255895;267;Göteborgsvarvet 2010;F;1968;SWE;KALMAR;KALMAR;FNS; 15:40:28;02:05:17;3521;0;19083;00:28:32;00:58:02;01:28:02;01:59:10
619770;79335;267;Göteborgsvarvet 2010;M;1974;SWE;SKÅNE;HÄSSLEHOLM;FNS; 13:37:33;01:48:42;5797;0;6469;00:22:56;00:47:17;01:15:00;01:43:01
616364;51207;267;Göteborgsvarvet 2010;M;1963;SWE;HALLAND;FALKENBERG;FNS; 13:40:18;01:42:42;3258;0;3548;00:24:04;00:47:56;01:12:24;01:37:35
573865;233306;267;Göteborgsvarvet 2010;M;1976;SWE;STOCKHOLM;STOCKHOLM;FNS; 16:00:25;02:13:17;19595;0;25055;00:28:23;00:58:46;01:30:31;02:06:29
591849;155579;267;Göteborgsvarvet 2010;M;1972;SWE;KRONOBERG;VÄXJÖ;FNS; 15:33:34;02:17:15;21243;0;27656;00:29:55;01:01:26;01:34:51;02:10:05
581005;35874;267;Göteborgsvarvet 2010;F;1992;SWE;SKÅNE;LUND;FNS; 15:47:41;02:33:52;9291;0;34618;00:29:45;01:03:48;01:40:04;02:27:11
597638;111564;267;Göteborgsvarvet 2010;F;1963;SWE;VÄSTRA GÖTALAND;MÖLNDAL;FNS; 13:41:47;01:59:26;2158;0;14330;00:27:23;00:55:06;01:24:18;01:53:43
601043;259145;267;Göteborgsvarvet 2010;M;1954;SWE;JÖNKÖPING;TRANÅS;FNS; 15:07:42;03:07:00;27151;0;38179;00:40:10;01:22:38;02:09:17;02:58:11
561490;245833;267;Göteborgsvarvet 2010;F;1801;DNK;NULL;NULL;FNS; 14:32:02;02:31:34;9007;0;34001;00:33:03;01:09:53;01:47:40;02:24:32
591729;191614;267;Göteborgsvarvet 2010;F;1980;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:50:53;01:39:54;194;0;2633;00:22:58;00:44:22;01:11:14;01:35:29
570968;123488;267;Göteborgsvarvet 2010;M;1984;SWE;SKÅNE;LUND;FNS; 16:00:20;02:13:39;19760;0;25306;00:26:31;00:56:12;01:28:46;02:05:12
601518;61429;267;Göteborgsvarvet 2010;M;1969;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:39:44;01:51:50;7480;0;8457;00:24:40;00:51:20;01:17:39;01:46:20
603065;217228;267;Göteborgsvarvet 2010;M;1974;SWE;VÄSTRA GÖTALAND;ULRICEHAMN;FNS; 13:51:12;01:36:54;1699;0;1820;00:23:27;00:45:21;01:07:57;01:32:00
585437;177443;267;Göteborgsvarvet 2010;M;1976;SWE;VÄSTRA GÖTALAND;MÖLNDAL;FNS; 13:50:24;01:42:31;3194;0;3482;00:22:01;00:44:49;01:12:28;01:37:30
584154;214543;267;Göteborgsvarvet 2010;M;1965;SWE;STOCKHOLM;SIGTUNA;FNS; 14:26:05;02:12:36;19268;0;24564;00:27:59;00:58:04;01:31:44;02:06:00
578932;59453;267;Göteborgsvarvet 2010;F;1991;SWE;SKÅNE;LUND;FNS; 15:54:39;02:07:43;4106;0;20952;00:30:02;00:59:33;01:30:05;02:01:50
613486;60308;267;Göteborgsvarvet 2010;M;1965;SWE;VÄSTRA GÖTALAND;BORÅS;FNS; 13:34:16;01:41:47;2969;0;3232;00:22:56;00:46:29;01:10:53;01:36:33
575375;152713;267;Göteborgsvarvet 2010;F;1974;SWE;ÖREBRO;ÖREBRO;FNS; 15:54:29;02:03:32;3066;0;17628;00:29:14;00:58:51;01:28:37;01:57:36
578367;69137;267;Göteborgsvarvet 2010;M;1965;SWE;HALLAND;VARBERG;FNS; 15:48:43;02:43:23;26332;0;36527;00:32:05;01:09:32;01:50:23;02:34:28
603759;39891;267;Göteborgsvarvet 2010;M;1980;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 14:12:18;01:44:36;3986;0;4353;00:23:03;00:46:26;01:11:22;01:38:53
604743;233199;267;Göteborgsvarvet 2010;M;1952;SWE;NULL;NULL;FNS; 15:06:06;03:26:53;27277;0;38413;00:47:12;01:35:10;02:24:16;03:16:06
579724;27508;267;Göteborgsvarvet 2010;M;1967;SWE;NULL;NULL;FNS; 15:48:01;02:08:27;17214;0;21474;00:26:52;00:55:31;01:26:22;02:00:49
556819;45943;267;Göteborgsvarvet 2010;M;1970;SWE;JÖNKÖPING;JÖNKÖPING;FNS; 14:13:11;02:11:29;18751;0;23754;00:27:00;00:55:53;01:30:36;02:04:24
